Name,Rating,Position,PAC,SHO,PAS,DRI,DEF,PHY,Total_stats,PMD,Nacionalidad,Liga,Club
Colombatto,75,CDM,74,70,75,72,70,77,438,73.00,Argentina,LALIGA HYPERMOTION,R. Oviedo
Stage,75,CM,65,68,71,73,73,78,428,71.33,Denmark,Bundesliga,SV Werder Bremen
Uduokhai,75,CB,62,39,53,59,76,75,364,60.67,Germany,Trendyol Super Lig,Besiktas
James,75,RM,93,70,66,74,46,66,415,69.17,Wales,EFL Championship,Leeds United
Grujic,75,CM,59,71,71,75,74,82,432,72.00,Serbia,Liga Portugal,FC Porto
Reese,75,LM,82,69,70,73,42,80,416,69.33,Germany,Bundesliga 2,Hertha BSC
Justin,75,LB,79,50,70,69,72,71,411,68.50,England,Premier League,Leicester City
Kelly,75,CB,67,40,65,67,75,78,392,65.33,England,Premier League,Newcastle Utd
Nelson,75,RW,85,67,71,78,36,55,392,65.33,England,Premier League,Fulham
Dorsch,75,CDM,70,72,73,78,71,72,436,72.67,Germany,Bundesliga,Heidenheim
Nandez,75,RM,81,61,71,77,68,79,437,72.83,Uruguay,ROSHN Saudi League,Al Qadisiyah
Svilar,75,GK,75,73,70,78,58,75,429,71.50,Serbia,Serie A Enilive,AS Roma
Gacinovic,75,LM,78,67,72,78,63,67,425,70.83,Serbia,Hellas Liga,AEK Athens
Jhonatan,75,GK,76,75,73,78,37,74,413,68.83,Brazil,Liga Portugal,Rio Ave FC
Mancini,75,RM,81,72,70,76,59,68,426,71.00,Argentina,Hellas Liga,Panathinaikos
Desmas,75,GK,75,72,72,76,36,73,404,67.33,France,Ligue 1 McDonald's,Havre AC
Adebayo,75,ST,74,72,53,70,45,80,394,65.67,England,EFL Championship,Luton Town
Rodon,75,CB,70,32,51,59,76,77,365,60.83,Wales,EFL Championship,Leeds United
Rashica,75,RM,81,74,71,76,50,73,425,70.83,Kosovo,Trendyol Super Lig,Besiktas
Iljutcenko,75,ST,68,77,58,68,37,84,392,65.33,Russia,K League 1,FC Seoul
Kevin,75,RB,67,53,67,66,73,66,392,65.33,Spain,LALIGA HYPERMOTION,R. Sporting
Sierro,75,CM,61,67,75,72,70,75,420,70.00,Switzerland,Ligue 1 McDonald's,Toulouse FC
Grabara,75,GK,76,75,72,76,42,75,416,69.33,Poland,Bundesliga,VfL Wolfsburg
Lod,75,RM,73,71,73,75,59,71,422,70.33,Finland,MLS,Minnesota United
Guanca,75,CAM,72,78,72,75,40,71,408,68.00,Argentina,ROSHN Saudi League,Al Shabab
Spierings,75,CDM,54,66,68,70,74,75,407,67.83,Netherlands,3F Superliga,Brondby IF
Guilbert,75,RB,71,47,68,71,73,75,405,67.50,France,Serie A Enilive,Lecce
Malcorra,75,CAM,68,71,79,76,59,65,418,69.67,Argentina,Libertadores,Rosario Central
Fulgini,75,CAM,71,69,75,78,67,71,431,71.83,France,Ligue 1 McDonald's,RC Lens
Larin,75,ST,71,75,65,69,28,78,386,64.33,Canada,LALIGA EA SPORTS,RCD Mallorca
Nieuwkoop,75,RM,70,63,73,71,71,77,425,70.83,Netherlands,Eredivisie,Feyenoord
Espinoza,75,RM,84,70,69,75,43,66,407,67.83,Argentina,MLS,SJ Earthquakes
Martinez,75,RM,75,73,72,81,35,55,391,65.17,Argentina,Libertadores,River Plate
Barnhart,75,GK,71,80,78,65,35,81,410,68.33,United States,NWSL,Washington Spirit
Eggestein,75,CDM,63,60,69,71,72,74,409,68.17,Germany,Bundesliga,SC Freiburg
Adams,75,ST,79,76,62,74,40,76,407,67.83,Scotland,Serie A Enilive,Torino
Godfrey,75,CB,81,44,61,61,74,76,397,66.17,England,Serie A Enilive,Bergamo Calcio
Maitland-Niles,75,RB,76,61,71,73,71,72,424,70.67,England,Ligue 1 McDonald's,OL
Sheaf,75,CDM,54,47,71,71,74,74,391,65.17,England,EFL Championship,Coventry City
Chaplin,75,CAM,84,74,70,76,46,64,414,69.00,England,Premier League,Ipswich
Hendry,75,CB,78,56,63,65,72,85,419,69.83,Scotland,ROSHN Saudi League,Ettifaq FC
Caleta-Car,75,CB,59,39,57,59,74,78,366,61.00,Croatia,Ligue 1 McDonald's,OL
Kike Barja,75,RM,76,67,69,76,35,59,382,63.67,Spain,LALIGA EA SPORTS,CA Osasuna
Cristo Gonzalez,75,ST,83,73,68,80,37,73,414,69.00,Spain,Liga Portugal,Arouca
Aina,75,LB,89,60,69,74,70,74,436,72.67,Nigeria,Premier League,Nott'm Forest
Celik,75,RB,71,59,69,70,73,76,418,69.67,Turkey,Serie A Enilive,AS Roma
Luis Rioja,75,LM,77,75,71,78,37,50,388,64.67,Spain,LALIGA EA SPORTS,Valencia CF
Zentner,75,GK,76,73,57,80,65,72,423,70.50,Germany,Bundesliga,1. FSV Mainz 05
Samu,75,CM,77,71,72,79,59,65,423,70.50,Portugal,Liga Portugal,Vitoria SC
Armstrong,75,ST,77,76,66,73,35,68,395,65.83,England,Premier League,Southampton
van de Beek,75,CM,65,76,74,75,70,67,427,71.17,Netherlands,LALIGA EA SPORTS,Girona FC
Sorensen,75,CB,57,45,61,61,77,76,377,62.83,Denmark,Ceska Liga,Sparta Praha
Diaw,75,GK,77,74,73,78,43,72,417,69.50,Senegal,Ligue 2 BKT,Clermont Foot 63
Sornoza,75,CAM,74,75,75,75,41,51,391,65.17,Ecuador,Libertadores,IDV
Ponce,75,ST,75,75,61,73,38,75,397,66.17,Argentina,MLS,Houston Dynamo
Wilson,75,RM,76,77,75,76,43,58,405,67.50,Wales,Premier League,Fulham
Pohjanpalo,75,ST,68,76,63,72,38,76,393,65.50,Finland,Serie A Enilive,Venezia
Szmodics,75,CAM,79,75,70,76,51,67,418,69.67,Republic of Ireland,Premier League,Ipswich
Embarba,75,LM,78,74,73,76,42,68,411,68.50,Spain,LALIGA EA SPORTS,Rayo Vallecano
Bruno Varela,75,GK,75,73,69,76,39,73,405,67.50,Cape Verde Islands,Liga Portugal,Vitoria SC
Aquino,75,CAM,75,75,75,78,45,72,420,70.00,Argentina,Primera Division,Velez Sarsfield
Sandro,75,ST,78,76,67,76,31,63,391,65.17,Spain,LALIGA EA SPORTS,UD Las Palmas
Blake,75,GK,74,70,71,77,45,78,415,69.17,Jamaica,MLS,Philadelphia
Shankland,75,ST,63,78,64,74,28,80,387,64.50,Scotland,Scottish Prem,Hearts
Cornet,75,LM,85,75,70,76,67,70,443,73.83,Ivory Coast,Premier League,Southampton
Dragowski,75,GK,77,71,70,77,37,72,404,67.33,Poland,Hellas Liga,Panathinaikos
Zinckernagel,75,LM,82,72,71,76,42,67,410,68.33,Denmark,Eliteserien,FK Bodo/Glimt
Lema,75,CB,32,53,58,42,75,83,343,57.17,Argentina,Sudamericana,Boca Juniors
Rey,75,GK,73,73,70,76,50,75,417,69.50,Argentina,Primera Division,Independiente
Burrai,75,GK,75,72,71,75,44,73,410,68.33,Ecuador,Libertadores,Barcelona SC
Mancuello,75,CAM,63,69,80,76,56,63,407,67.83,Argentina,Primera Division,Independiente
Rodriguez,75,GK,73,72,76,76,45,74,416,69.33,Argentina,Sudamericana,Argentinos Jrs.
Silva,75,CAM,62,69,75,74,54,68,402,67.00,Colombia,Libertadores,Millonarios
Fabra,75,LB,80,68,74,78,68,76,444,74.00,Colombia,Sudamericana,Boca Juniors
Adama Traore,75,RM,93,65,64,81,37,80,420,70.00,Spain,Premier League,Fulham
Fabio Cardoso,75,CB,57,32,53,64,75,81,362,60.33,Portugal,United Emirates League,Al Ain FC
Castelletto,75,CB,68,32,51,63,76,76,366,61.00,Cameroon,Ligue 1 McDonald's,FC Nantes
Di Francesco,75,LW,80,69,73,77,52,70,421,70.17,Italy,Serie BKT,Palermo
Aderllan Santos,75,CB,59,52,52,57,76,81,377,62.83,Brazil,Liga Portugal,Rio Ave FC
Abergel,75,CDM,65,50,69,72,71,75,402,67.00,France,Ligue 2 BKT,FC Lorient
Palacios,75,RW,81,73,71,77,44,66,412,68.67,Argentina,Libertadores,Talleres
Said,75,ST,76,75,67,78,30,58,384,64.00,France,Ligue 1 McDonald's,RC Lens
Zimmerman,75,CB,56,50,55,56,74,84,375,62.50,United States,MLS,Nashville SC
Dendoncker,75,CM,53,69,75,70,76,78,421,70.17,Belgium,1A Pro League,RSC Anderlecht
Jo Hyeon Woo,75,GK,77,72,62,78,51,73,413,68.83,Korea Republic,K League 1,Ulsan Hyundai
Bazoer,75,CB,67,68,74,75,74,74,432,72.00,Netherlands,Eredivisie,AZ
Kohr,75,CB,80,63,60,70,74,80,427,71.17,Germany,Bundesliga,1. FSV Mainz 05
Mechele,75,CB,51,39,51,53,79,77,350,58.33,Belgium,1A Pro League,Club Brugge
Max,75,LB,73,65,74,74,70,72,428,71.33,Germany,Hellas Liga,Panathinaikos
Khedira,75,CDM,54,43,57,62,79,80,375,62.50,Germany,Bundesliga,Union Berlin
Dembele,75,ST,71,74,62,71,30,80,388,64.67,France,ROSHN Saudi League,Ettifaq FC
Fernandez,75,CM,67,67,73,76,65,66,414,69.00,Argentina,Sudamericana,Boca Juniors
Ruben Pena,75,RB,72,69,70,73,72,65,421,70.17,Spain,LALIGA EA SPORTS,CA Osasuna
Maxim,75,CAM,69,74,77,78,34,60,392,65.33,Romania,Trendyol Super Lig,Gaziantep
Paulo Oliveira,75,CB,54,34,52,61,77,72,350,58.33,Portugal,Liga Portugal,SC Braga
Steffen,75,RW,86,70,71,77,53,66,423,70.50,Switzerland,CSSL,FC Lugano
Brignoli,75,GK,72,72,78,77,44,79,422,70.33,Italy,Hellas Liga,AEK Athens
Thomasson,75,CAM,59,73,76,77,64,72,421,70.17,France,Ligue 1 McDonald's,RC Lens
Omar Mascarell,75,CM,53,64,71,74,72,71,405,67.50,Spain,LALIGA EA SPORTS,RCD Mallorca
Mantalos,75,CAM,72,68,77,76,55,66,414,69.00,Greece,Hellas Liga,AEK Athens
Doucoure,75,CAM,57,78,72,74,77,82,440,73.33,Mali,Premier League,Everton
Dituro,75,GK,74,72,77,77,38,74,412,68.67,Argentina,LALIGA HYPERMOTION,Elche CF
Ayhan,75,RB,59,53,73,69,77,77,408,68.00,Turkey,Trendyol Super Lig,Galatasaray
Keane,75,CB,41,49,62,59,76,74,361,60.17,England,Premier League,Everton
Vazquez,75,CAM,42,77,77,77,56,77,406,67.67,Argentina,Serie BKT,Cremonese
Pablo Mari,75,CB,55,40,49,53,77,72,346,57.67,Spain,Serie A Enilive,Monza
Abdelhamid,75,CB,32,33,57,62,76,78,338,56.33,Morocco,Ligue 1 McDonald's,AS Saint-Etienne
Stevanovic,75,RM,78,70,75,73,39,69,404,67.33,Bosnia Herzegovina,CSSL,Servette FC
Juan Cruz,75,LB,73,40,62,64,73,73,385,64.17,Spain,LALIGA EA SPORTS,CA Osasuna
Reed,75,CDM,59,60,71,71,72,74,407,67.83,England,Premier League,Fulham
Livaja,75,ST,72,76,71,77,38,79,413,68.83,Croatia,Liga Hrvatska,Hajduk Split
Umtiti,75,CB,55,57,67,61,76,73,389,64.83,France,Ligue 1 McDonald's,LOSC Lille
Luis Hernandez,75,CB,62,50,65,65,75,78,395,65.83,Spain,LALIGA HYPERMOTION,Cadiz CF
Vako,75,LM,76,71,70,77,41,69,404,67.33,Georgia,CSL,Shandong Taishan
Schoofs,75,CM,53,72,76,74,67,66,408,68.00,Belgium,1A Pro League,KV Mechelen
Denis Suarez,75,CM,59,70,77,77,64,54,401,66.83,Spain,LALIGA EA SPORTS,Villarreal CF
Rodriguez,75,CM,63,67,75,73,68,68,414,69.00,Uruguay,Libertadores,Alianza Lima
Juan Bernat,75,LB,70,64,76,80,75,53,418,69.67,Spain,LALIGA EA SPORTS,Villarreal CF
De Cordova-Reid,75,RM,74,72,72,76,60,63,417,69.50,Jamaica,Premier League,Leicester City
Lascelles,75,CB,40,35,51,50,76,78,330,55.00,England,Premier League,Newcastle Utd
Muller,75,GK,73,71,69,78,48,74,413,68.83,Germany,Bundesliga,Heidenheim
Nagbe,75,CM,73,67,71,80,63,73,427,71.17,United States,MLS,Columbus Crew
Zulj,75,ST,60,77,76,74,38,75,400,66.67,Austria,O. Bundesliga,LASK
Hofler,75,CDM,57,47,65,67,75,72,383,63.83,Germany,Bundesliga,SC Freiburg
Gonzalez Pirez,75,CB,68,54,62,67,74,81,406,67.67,Argentina,Libertadores,River Plate
Lucas Perez,75,ST,74,76,75,72,30,70,397,66.17,Spain,LALIGA HYPERMOTION,RC Deportivo
Vida,75,CB,70,41,58,59,77,79,384,64.00,Croatia,Hellas Liga,AEK Athens
Dominguez,75,GK,76,72,71,77,34,75,405,67.50,Ecuador,Libertadores,LDU Quito
Bakambu,75,ST,77,74,66,72,36,62,387,64.50,DR Congo,LALIGA EA SPORTS,Real Betis
D'Ambrosio,75,CB,59,56,66,68,77,72,398,66.33,Italy,Serie A Enilive,Monza
Mendy,75,CDM,56,54,70,74,74,67,395,65.83,Senegal,Ligue 1 McDonald's,RC Lens
Svensson,75,RB,74,60,70,74,72,79,429,71.50,Norway,Trendyol Super Lig,Besiktas
Sergio Oliveira,75,CM,48,75,79,71,66,58,397,66.17,Portugal,Hellas Liga,Olympiacos FC
Ayew,75,RW,71,73,71,78,57,74,424,70.67,Ghana,Premier League,Leicester City
Verdi,75,CAM,77,71,74,79,43,47,391,65.17,Italy,Serie A Enilive,Como
Perez,75,CDM,57,66,74,77,71,74,419,69.83,Argentina,Libertadores,Estudiantes
Joel Robles,75,GK,76,73,71,77,50,72,419,69.83,Spain,Liga Portugal,Estoril Praia
Faraoni,75,RM,73,72,74,74,69,70,432,72.00,Italy,Serie A Enilive,Hellas Verona
Cairney,75,CM,52,72,78,75,63,65,405,67.50,Scotland,Premier League,Fulham
Yarmolenko,75,RM,60,79,76,76,42,72,405,67.50,Ukraine,Ukrayina Liha,Dynamo Kyiv
Trimmel,75,RB,69,65,74,68,74,79,429,71.50,Austria,Bundesliga,Union Berlin
Vogt,75,CB,67,48,71,66,75,76,403,67.17,Germany,Bundesliga,Union Berlin
Salvio,75,RW,77,72,72,79,54,66,420,70.00,Argentina,Sudamericana,Lanus
Cote,75,LB,64,58,80,73,73,70,418,69.67,Spain,LALIGA HYPERMOTION,R. Sporting
Zuber,75,ST,77,74,73,75,65,76,440,73.33,Switzerland,Hellas Liga,AEK Athens
Dragovic,75,CB,54,51,63,64,77,75,384,64.00,Austria,O. Bundesliga,FK Austria Wien
Lanzini,75,CAM,63,71,76,80,43,51,384,64.00,Argentina,Libertadores,River Plate
Steele,75,GK,75,73,80,74,39,75,416,69.33,England,Premier League,Brighton
Kaminski,75,GK,73,75,70,77,46,74,415,69.17,Belgium,EFL Championship,Luton Town
Borini,75,LW,72,75,72,76,46,71,412,68.67,Italy,Serie BKT,Sampdoria
Ighalo,75,ST,61,77,64,71,43,83,399,66.50,Nigeria,ROSHN Saudi League,Al Wehda
Coda,75,ST,57,76,60,71,25,66,355,59.17,Italy,Serie BKT,Sampdoria
Amrabat,75,RM,78,68,74,76,55,86,437,72.83,Morocco,Hellas Liga,AEK Athens
Ki Sung Yueng,75,CM,54,66,76,70,64,77,407,67.83,Korea Republic,K League 1,FC Seoul
Jose Fonte,75,CB,31,46,62,60,76,79,354,59.00,Portugal,Liga Portugal,Casa Pia AC
Consigli,75,GK,76,73,70,75,40,77,411,68.50,Italy,Serie BKT,Sassuolo
Ricardo Batista,75,GK,75,74,73,75,38,77,412,68.67,Portugal,Liga Portugal,Casa Pia AC
Eikrem,75,CAM,65,71,76,74,33,50,369,61.50,Norway,Eliteserien,Molde FK
Santi Cazorla,75,CM,53,74,81,78,61,56,403,67.17,Spain,LALIGA HYPERMOTION,R. Oviedo
Milner,75,CM,50,70,78,74,74,73,419,69.83,England,Premier League,Brighton
Bethune,74,CAM,71,71,71,75,55,60,403,67.17,United States,NWSL,Washington Spirit
Manner,74,GK,74,73,71,73,34,74,399,66.50,Finland,NWSL,Orlando Pride
Palma,74,LW,77,74,75,75,32,63,396,66.00,Honduras,Scottish Prem,Celtic
Sazonov,74,CB,63,40,58,61,74,75,371,61.83,Georgia,Serie A Enilive,Empoli
Samoura,74,CB,74,32,54,63,74,70,367,61.17,France,Arkema PL,Paris SG
Natan,74,CB,59,33,48,50,77,74,341,56.83,Brazil,LALIGA EA SPORTS,Real Betis
Ari Mingueza,74,CM,72,70,76,73,65,67,423,70.50,Spain,Liga F,Granada CF
Haley,74,ST,80,73,59,68,35,68,383,63.83,United States,Barclays WSL,Brighton
Owusu,74,CM,77,68,70,70,62,75,422,70.33,Ghana,Liga F,Real Sociedad
Hranac,74,CB,69,39,51,53,73,78,363,60.50,Czech Republic,Bundesliga,TSG Hoffenheim
Amani,74,CDM,64,47,68,70,74,71,394,65.67,Ivory Coast,Liga F,SD Eibar
Pauleta,74,CDM,67,72,74,73,71,67,424,70.67,Spain,Liga Portugal Feminino,SL Benfica
Chiba,74,ST,83,80,60,73,22,54,372,62.00,Japan,GPFBL,Frankfurt
Krejcirikova,74,CDM,69,47,66,64,71,73,390,65.00,Czech Republic,Ceska Liga Zen,Slavia Praha
Alvarez,74,ST,74,77,63,74,41,69,398,66.33,Guatemala,Liga F,SD Eibar
Andrea Sierra,74,RB,76,53,67,69,69,56,390,65.00,Spain,Liga F,SD Eibar
Chytil,74,ST,73,72,55,68,29,81,378,63.00,Czech Republic,Ceska Liga,Slavia Praha
Garcia Basso,74,CB,65,52,60,63,75,77,392,65.33,Argentina,Sudamericana,Racing Club
Orban,74,ST,77,79,62,73,18,62,371,61.83,Nigeria,Ligue 1 McDonald's,OL
Thompson,74,LW,86,66,69,78,41,58,398,66.33,United States,NWSL,Angel City FC
Riesen,74,LB,70,59,65,69,73,64,400,66.67,Switzerland,GPFBL,Frankfurt
Tagnaout,74,LW,87,65,67,79,40,52,390,65.00,Morocco,Liga F,Sevilla FC
Durosinmi,74,ST,76,71,60,71,27,76,381,63.50,Nigeria,Ceska Liga,Viktoria Plzen
Gruda,74,CAM,78,71,69,81,30,67,396,66.00,Germany,Premier League,Brighton
Chamorro,74,ST,82,74,66,70,48,85,425,70.83,Paraguay,Liga F,RCD Espanyol
Noelia Ramos,74,GK,77,75,70,75,45,73,415,69.17,Spain,Liga F,UD Tenerife
Estella,74,RB,68,49,65,71,73,79,405,67.50,Spain,Liga F,UD Tenerife
N'Guessan,74,RW,74,72,76,75,41,48,386,64.33,Ivory Coast,Liga F,UD Tenerife
Irina Uribe,74,ST,77,74,72,75,46,77,421,70.17,Spain,Liga F,Levante Badalona
Maria Llompart,74,CM,78,71,72,77,67,74,439,73.17,Spain,Liga F,Levante Badalona
Itxaso,74,CDM,53,59,69,59,78,66,384,64.00,Spain,Liga F,Athletic Club
Irene Oguiza,74,CDM,74,52,64,62,78,66,396,66.00,Spain,Liga F,Athletic Club
Asun Martinez,74,RW,84,72,72,75,41,79,423,70.50,Spain,Liga F,Valencia CF
Real,74,RB,76,52,61,66,73,76,404,67.33,Ecuador,Liga F,Valencia CF
Pauleta Sancho,74,LB,77,65,68,71,72,68,421,70.17,Spain,Liga F,Valencia CF
Violeta Quiles,74,LM,82,68,68,77,61,64,420,70.00,Spain,Liga F,Real Sociedad
Ngock,74,CDM,67,52,66,69,70,67,391,65.17,Cameroon,Arkema PL,Stade de Reims
Furst,74,CB,58,49,65,69,76,70,387,64.50,Germany,GPFBL,SGS Essen
Flach,74,CB,71,52,71,69,76,68,407,67.83,Germany,GPFBL,SGS Essen
Minteh,74,RM,95,65,61,79,45,56,401,66.83,Gambia,Premier League,Brighton
Vanat,74,ST,79,74,59,73,26,64,375,62.50,Ukraine,Ukrayina Liha,Dynamo Kyiv
Emma Ramirez,74,RB,70,55,71,70,72,60,398,66.33,Spain,Liga F,Real Sociedad
Veje,74,LB,66,45,73,66,72,69,391,65.17,Denmark,Barclays WSL,Crystal Palace
Kouache,74,RB,78,49,63,67,70,59,386,64.33,France,Arkema PL,Havre AC
Nagano,74,CM,78,60,72,79,61,63,413,68.83,Japan,Barclays WSL,Liverpool
Mateus Fernandes,74,CM,75,65,73,79,58,62,412,68.67,Portugal,Premier League,Southampton
Elisor,74,CM,69,68,73,75,66,73,424,70.67,France,Arkema PL,Havre AC
Demeyere,74,LB,67,67,72,77,71,65,419,69.83,Belgium,Arkema PL,Havre AC
Peque,74,CAM,81,72,69,75,35,51,383,63.83,Spain,LALIGA EA SPORTS,Sevilla FC
Koulierakis,74,CB,69,43,56,63,74,75,380,63.33,Greece,Bundesliga,VfL Wolfsburg
Cadu,74,LM,75,67,73,76,67,62,420,70.00,Brazil,Ceska Liga,Viktoria Plzen
Sadilek,74,CM,69,63,72,73,68,70,415,69.17,Czech Republic,Ceska Liga,Sparta Praha
Miovski,74,ST,73,76,58,71,29,73,380,63.33,FYR Macedonia,LALIGA EA SPORTS,Girona FC
Roth,74,ST,72,74,70,77,56,66,415,69.17,France,Arkema PL,Havre AC
Redondo,74,CM,72,62,70,74,71,77,426,71.00,Argentina,MLS,Inter Miami CF
Jedlicka,74,GK,73,74,70,75,35,72,399,66.50,Czech Republic,Ceska Liga,Viktoria Plzen
Jurecka,74,ST,74,74,66,71,49,76,410,68.33,Czech Republic,Ceska Liga,Slavia Praha
Doudera,74,RM,89,66,65,72,65,67,424,70.67,Czech Republic,Ceska Liga,Slavia Praha
Cham,74,CAM,76,68,71,75,25,51,366,61.00,Austria,Trendyol Super Lig,Trabzonspor
Diakite,74,CB,61,51,52,51,76,66,357,59.50,Ivory Coast,Arkema PL,FC Fleury 91
Bruna,74,RW,82,73,62,74,33,60,384,64.00,Spain,Barclays WSL,Brighton
Larsson,74,CM,73,63,67,75,65,73,416,69.33,Sweden,Bundesliga,Frankfurt
Tiago Gouveia,74,RM,85,68,67,76,32,61,389,64.83,Portugal,Liga Portugal,SL Benfica
Miretti,74,CM,75,60,75,76,66,70,422,70.33,Italy,Serie A Enilive,Genoa
Nuamah,74,RW,85,67,63,79,24,62,380,63.33,Ghana,Ligue 1 McDonald's,OL
Casiraghi,74,LM,76,70,72,73,50,73,414,69.00,Italy,Serie BKT,Sudtirol
Cambiaghi,74,LW,77,72,65,77,38,68,397,66.17,Italy,Serie A Enilive,Bologna
Stievenart,74,RM,78,72,68,75,41,70,404,67.33,France,Arkema PL,Havre AC
Cance,74,CM,75,69,74,74,56,74,422,70.33,France,Arkema PL,Havre AC
Diouf,74,CM,75,68,71,75,67,75,431,71.83,France,Ligue 1 McDonald's,RC Lens
Cheddira,74,ST,80,73,64,68,41,76,402,67.00,Morocco,LALIGA EA SPORTS,RCD Espanyol
Lucia Alves,74,LB,75,48,69,77,69,62,400,66.67,Portugal,Liga Portugal Feminino,SL Benfica
Jacobs,74,CB,75,47,63,65,75,68,393,65.50,United States,NWSL,Houston Dash
Pablo Torre,74,CAM,72,64,76,76,45,53,386,64.33,Spain,LALIGA EA SPORTS,FC Barcelona
Mansuy,74,CB,69,38,61,65,75,74,382,63.67,France,Arkema PL,Havre AC
Leuchter,74,ST,74,74,58,74,27,69,376,62.67,Netherlands,Arkema PL,Paris SG
Alidou,74,CAM,73,73,72,74,42,62,396,66.00,Canada,Liga Portugal Feminino,SL Benfica
Van der Jagt,74,CDM,65,55,65,68,74,63,390,65.00,United States,NWSL,Seattle Reign
Abello,74,LB,68,64,71,74,71,66,414,69.00,United States,NWSL,Orlando Pride
McGrady,74,LB,69,48,67,67,73,61,385,64.17,United States,Arkema PL,https://cdn.futwiz.com/assets/img/fc25/badges/110569.png
Briede,74,CM,48,67,69,74,67,59,384,64.00,United States,NWSL,Houston Dash
Betos,74,GK,73,74,70,75,38,74,404,67.33,United States,NWSL,NJ/NY Gotham
Vasconcelos,74,CAM,68,69,67,73,46,59,382,63.67,United States,NWSL,Utah Royals FC
Merrick,74,CB,53,42,60,68,78,61,362,60.33,United States,NWSL,Utah Royals FC
Martin,74,CDM,62,49,68,66,76,58,379,63.17,United States,NWSL,NJ/NY Gotham
Petersen,74,LB,75,58,68,70,69,69,409,68.17,United States,NWSL,Rac. Louisville
Lawrence,74,CB,67,42,63,62,75,68,377,62.83,United States,NWSL,Orlando Pride
Montefusco,74,CB,49,44,59,62,77,69,360,60.00,United States,NWSL,Orlando Pride
Gareis,74,LM,69,68,72,73,48,71,401,66.83,United States,NWSL,Houston Dash
Stevens,74,ST,70,74,67,68,42,66,387,64.50,United States,NWSL,NJ/NY Gotham
Feist,74,CDM,80,67,70,75,71,57,420,70.00,United States,NWSL,KC Current
Bailey,74,CM,73,63,70,72,71,76,425,70.83,United States,NWSL,Bay FC
Speck,74,CM,69,66,75,74,64,59,407,67.83,United States,NWSL,NC Courage
Ratcliffe,74,LM,71,72,71,72,41,68,395,65.83,United States,NWSL,Washington Spirit
Stanton,74,CDM,49,53,65,65,73,68,373,62.17,United States,NWSL,Seattle Reign
King,74,LM,89,68,68,73,43,72,413,68.83,United States,NWSL,Seattle Reign
Haug,74,ST,73,73,62,70,40,69,387,64.50,Norway,Barclays WSL,Liverpool
Kearns,74,CM,74,68,77,75,60,67,421,70.17,England,Barclays WSL,Aston Villa
Troelsgaard,74,CM,50,68,66,73,68,75,400,66.67,Denmark,Calcio A Femminile,AS Roma
Adams,74,ST,81,73,56,70,29,76,385,64.17,Nigeria,Ligue 1 McDonald's,Montpellier
Vine,74,LM,81,67,66,76,33,49,372,62.00,Australia,NWSL,NC Courage
Dorsey,74,LB,70,46,63,68,73,62,382,63.67,United States,NWSL,Utah Royals FC
Caputo,74,LM,76,74,70,76,45,67,408,68.00,France,Arkema PL,AS Saint-Etienne
Lahmari,74,CM,71,71,72,77,64,65,420,70.00,Morocco,Liga F,Levante UD
Jutgla,74,ST,76,74,65,77,29,76,397,66.17,Spain,1A Pro League,Club Brugge
Doorn,74,CB,54,56,60,61,73,76,380,63.33,Netherlands,GPFBL,TSG Hoffenheim
Riznyk,74,GK,74,66,76,75,48,77,416,69.33,Ukraine,Ukrayina Liha,Shakhtar Donetsk
Ouattara,74,LM,85,68,65,77,47,57,399,66.50,Burkina Faso,Premier League,AFC Bournemouth
Woodham,74,LB,76,53,65,66,73,69,402,67.00,Wales,NWSL,Seattle Reign
Morgan,74,RB,76,34,71,67,72,67,387,64.50,England,NWSL,Washington Spirit
Finnigan,74,CB,60,43,65,61,74,72,375,62.50,England,Barclays WSL,Everton
Brosnan,74,GK,70,71,66,77,41,75,400,66.67,Republic of Ireland,Barclays WSL,Everton
Robinson,74,RM,81,66,68,75,38,64,392,65.33,England,Barclays WSL,Aston Villa
Spence,74,CM,33,74,73,72,61,69,382,63.67,Jamaica,Barclays WSL,Spurs
Patten,74,CB,65,44,62,63,76,71,381,63.50,England,Barclays WSL,Aston Villa
Brandenburg,74,CB,65,53,67,64,74,76,399,66.50,Germany,GPFBL,SV Werder Bremen
Ulbrich,74,CB,46,55,68,67,77,75,388,64.67,Germany,GPFBL,SV Werder Bremen
Kazadi,74,RB,73,47,66,72,71,67,396,66.00,France,Arkema PL,En Avant Guingamp
Gudorf,74,RB,76,44,64,69,73,73,399,66.50,Germany,GPFBL,SC Freiburg
Winkler,74,GK,73,74,73,72,59,74,425,70.83,Germany,GPFBL,SGS Essen
Berentzen,74,LM,68,65,74,71,69,73,420,70.00,Germany,GPFBL,SGS Essen
Sterner,74,RB,73,59,73,71,71,69,416,69.33,Germany,GPFBL,SGS Essen
Graf,74,CM,67,63,72,71,65,69,407,67.83,Germany,GPFBL,RB Leipzig
Holmgaard,74,CDM,57,55,68,64,75,74,393,65.50,Denmark,Barclays WSL,Everton
Leimenstoll,74,ST,79,71,67,73,45,63,398,66.33,Germany,GPFBL,1. FC Koln
Ribadeira,74,ST,75,73,64,77,34,62,385,64.17,France,Arkema PL,Paris FC
Chapelle,74,ST,60,76,62,72,34,61,365,60.83,Morocco,Arkema PL,Strasbourg
